customer,location,soap_type,quantity,age,payment_type,,Points,Explanation/Questions,,,,,,
1,rural,single,3,34,check,,,Type of soap is your outcome variable,,,,,,
2,rural,single,5,43,credit card,,10,Summarize the data,,,,,,
3,rural,single,7,91,credit card,,10,Clean up the data set and document your actions,,,,,,
4,rural,single,5,91,check,,10,Summarize the data after clean up,,,,,,
5,rural,twin,3,27,cash,,10 each,"Create at least four sets of visuals to describe the dataset and shed light to questions such as (you are not limited with these insights, Fell free to create your own questions/answers):",,,,,,
6,rural,twin,NA,NA,NA,,,"Which type of soap, payment type, location dominate the dataset, if any",,,,,,
7,suburban,bundle,9,64,credit card,,,Are customers who live in a certain region tend to by certain types of soap?,,,,,,
8,suburban,bundle,2,83,credit card,,,"Do the payment method differs based on age, location, and/or quantity?",,,,,,
9,suburban,bundle,3,38,credit card,,,One set must be box-plots and another set must be scatter plots,,,,,,
10,suburban,bundle,5,75,check,,10,"Conduct KNN to predict the type of soap for a new customer who is 55 years old living in an urban area, buying 3 units of soap and paying by credit card  ",,,,,,
11,suburban,bundle,5,96,cash,,20,"All codes need to be documented. A self-contained file (word of pdf) that includes all the codes, comments, plots and other outputs must be submitted.",,,,,,
12,suburban,bundle,1,32,check,,,Consider:,,,,,,
13,urban,bundle,3,54,check,,,Binning the ages into age groups,,,,,,
14,urban,bundle,6,43,check,,,Binning the quantites into groups,,,,,,
15,urban,bundle,1,76,credit card,,,Comment on your choice,,,,,,
16,urban,liquid,4,66,check,,10,Bonus of 10 points will be given to creativity - documentation,,,,,,
17,urban,liquid,3,59,cash,,,,,,,,,
18,rural,single,10,23,credit card,,,,,,,,,
19,rural,single,4,92,check,,,,,,,,,
20,rural,single,8,89,credit card,,,,,,,,,
21,rural,single,4,30,credit card,,,,,,,,,
22,rural,single,10,88,credit card,,,,,,,,,
23,rural,twin,8,98,cash,,,,,,,,,
24,suburban,twin,2,54,credit card,,,,,,,,,
25,suburban,twin,5,51,check,,,,,,,,,
26,suburban,bundle,4,30,credit card,,,,,,,,,
27,suburban,bundle,7,56,cash,,,,,,,,,
28,urban,bundle,3,18,cash,,,,,,,,,
29,urban,liquid,6,83,cash,,,,,,,,,
30,urban,liquid,6,67,cash,,,,,,,,,
31,urban,liquid,7,74,credit card,,,,,,,,,
32,urban,liquid,7,37,check,,,,,,,,,
33,rural,single,9,34,check,,,,,,,,,
34,rural,single,10,60,check,,,,,,,,,
35,rural,single,6,94,check,,,,,,,,,
36,rural,single,6,66,credit card,,,,,,,,,
37,suburban,twin,2,79,cash,,,,,,,,,
38,suburban,twin,NA,NA,NA,,,,,,,,,
39,suburban,twin,8,96,cash,,,,,,,,,
40,suburban,bundle,NA,NA,NA,,,,,,,,,
41,suburban,bundle,6,56,cash,,,,,,,,,
42,suburban,bundle,NA,NA,NA,,,,,,,,,
43,urban,bundle,5,39,check,,,,,,,,,
44,urban,bundle,5,22,check,,,,,,,,,
45,urban,liquid,2,49,cash,,,,,,,,,
46,urban,liquid,7,50,cash,,,,,,,,,
47,urban,liquid,3,89,credit card,,,,,,,,,
48,urban,liquid,2,96,cash,,,,,,,,,
49,urban,liquid,9,77,credit card,,,,,,,,,
50,urban,liquid,7,30,cash,,,,,,,,,
51,urban,liquid,10,52,check,,,,,,,,,
52,urban,liquid,10,70,check,,,,,,,,,
53,urban,liquid,6,62,credit card,,,,,,,,,
54,rural,single,NA,NA,NA,,,,,,,,,
55,rural,single,8,46,cash,,,,,,,,,
56,rural,single,1,64,cash,,,,,,,,,
57,rural,single,NA,NA,NA,,,,,,,,,
58,rural,single,1,25,cash,,,,,,,,,
59,rural,twin,2,62,cash,,,,,,,,,
60,suburban,twin,7,47,cash,,,,,,,,,
61,suburban,twin,8,82,credit card,,,,,,,,,
62,suburban,twin,1,48,cash,,,,,,,,,
63,suburban,twin,1,49,cash,,,,,,,,,
64,urban,bundle,4,87,cash,,,,,,,,,
65,urban,bundle,3,78,credit card,,,,,,,,,
66,urban,liquid,6,39,check,,,,,,,,,
67,rural,single,8,48,check,,,,,,,,,
68,rural,single,8,28,credit card,,,,,,,,,
69,rural,single,9,49,check,,,,,,,,,
70,rural,single,6,54,check,,,,,,,,,
71,rural,twin,10,55,cash,,,,,,,,,
72,rural,twin,1,76,check,,,,,,,,,
73,rural,twin,4,95,credit card,,,,,,,,,
74,rural,twin,2,33,cash,,,,,,,,,
75,suburban,twin,NA,NA,NA,,,,,,,,,
76,suburban,twin,1,80,check,,,,,,,,,
77,suburban,bundle,10,79,credit card,,,,,,,,,
78,urban,bundle,4,45,credit card,,,,,,,,,
79,urban,bundle,3,41,cash,,,,,,,,,
80,urban,liquid,7,35,cash,,,,,,,,,
81,urban,liquid,7,45,cash,,,,,,,,,
82,urban,liquid,1,66,check,,,,,,,,,
83,rural,single,6,85,credit card,,,,,,,,,
